,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
760,2015-12-27 16:12:52+00:00,4,"My boyfriend and I went here on a recent Saturday night a little after 6, I think, so it wasn't crowded. However, we didn't have reservations, so we had to sit at the bar. The set-up inside is a bit odd in that there aren't many tables, and the ones that do exist are mostly for larger parties. The rest of the seating is either at the main bar or long bar tables against the windows. I have no problem sitting at bars to eat, so this was fine for me, but could potentially be awkward for a larger group.

We started with cocktails. I got the La Chunga (white rum, chicha morada, ginger, lime, saline), and my boyfriend got the Cumbia Cocktail (blanco tequila, quinoa-almond orgeat, lime, grilled pineapple, chuncho bitters, cinnamon). They were strong, but pretty tasty--not overly sweet. They also provide the Peruvian version of corn nuts to munch on while you wait for your main meal.

For food, I got the duck sausage (farro, butternut squash, cumin, beer, spinach), which was really delicious and had a bit of a spicy kick to it. My boyfriend got the Arctic char (Andean potatoes, cacao, peanuts, mustard greens). He said the fish was superb and was perfectly cooked. He also got the chicken thigh (fermented soybean, aji verde, potato chip), which was four bite-sized pieces of chicken on a skewer. He said this was excellent as well. Finally, we got the picarones and chancaca for dessert, which is basically fried dough with a syrupy sauce. Pretty good--hard to mess up fried dough, after all.

The menu doesn't state that it's a small plates concept, but I would say it's close to that. The size of the duck sausage dish was fine for me, but I wasn't overly hungry to begin with. My boyfriend ordered the chicken thigh after he finished his Arctic char because he was still hungry.

We both enjoyed the food quite a bit and would definitely go back.",False,1,5,0,Leslie G.,en,"{'neg': 0.106, 'neu': 0.749, 'pos': 0.145, 'compound': 0.97}",0.97,0.145,0.106,0.749,positive
759,2016-01-08 14:37:53+00:00,5,"Had an amazing meal last night at Llama Inn.  The sampling of meats was incredible (especially the pork).  A couple of ceviches proved that Peruvians are the masters of that art.  Can't beat the beet salad. Freshly fried donuts and the ice cream are a must have for dessert. The drinks were also fantastic, including their takes on the pisco sour and a delicious Manhattan style cocktail. My favorite was the punch that is on tap and served with frozen grapes.  Can't wait to go back again.",False,2,4,0,Adam L.,en,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.9689}",0.9689,0.203,0.0,0.797,positive
758,2016-01-09 15:47:55+00:00,1,"Let me first start out that the food was AMAZING. But! The hostess was my biggest issue. Came in with a friend and it was packed. She asked if we had reservations and we said no. We honestly didn't mind the wait. She told us an hour. The place has a huge bar. But she tells us instead of offering us to sit and have a drink while we wait for table she points out the window and down the block and says that there is a bar down there. Why send us elsewhere to spend money??? I don't like playing the race card but yes we are people of Color. So we go to bar in restaurant of course and was able to get 2 seats so we decided to grab a few bites. 

We watched her and people came in clearly no reservation and she sat them. Or had someone sit them. She saw us the whole time at the bar and not once did she come say a table was ready for us. Really disgusted with the treatment. 

On a plus side our bartender was a sweetheart. But as for the racist or dummy from hell I would think twice about going back. Again why send us elsewhere to spend money and wait for a table when we never asked. Strange!!!!",False,12,5,1,AL A.,en,"{'neg': 0.116, 'neu': 0.723, 'pos': 0.161, 'compound': 0.9197}",0.9197,0.161,0.116,0.723,positive
757,2016-01-11 03:01:18+00:00,4,"We live right the in the neighborhood and have been eyeing this place down ever since construction began! This past Saturday we were finally able to sneak in and go! It was certainly packed around 10pm but we were able to grab a nice cozy table in the corner. Our waitress was extremely sweet and helpful with giving recommendations and quickly serving both our drinks and food. Here's the rundown of what we ordered:

Around the world (ANTICUCHO): Shrimp, beef heart, chicken thighs and pork belly - shrimp and chicken thighs for the win. Cooked extremely well, tender and tasteful. The beef heart was good, but not a taste and chewiness that we have an acquired taste for. The pork belly was sadly a little overcooked but still tasted yummy.

We also had the quinoa and pork shoulder - both were absolutely delish, fresh, well cooked and flavorful.

We hear that the fish there is supposed to be really good too, so we will certainly be returning to try the whole menu!",True,1,4,0,Courtney D.,en,"{'neg': 0.068, 'neu': 0.599, 'pos': 0.333, 'compound': 0.9971}",0.9971,0.333,0.068,0.599,positive
756,2016-01-12 03:18:23+00:00,5,"Went this past weekend, not exactly knowing what to expect having never had peruvian food but optimistic nonetheless. The first thing i found funny was its location. Its a very unassuming place but once you walk in you see its a small yet well designed space. I cant really recall the the names of the drinks but me and my friends (3 of us) all had one of their house original cocktails each and agreed they were all great. One had a purple potato puree which gave it an interesting savoriness and another was topped with some champagne which was great as well. 
The food was very well done. They're a small plate restaurant where sharing is suggested. We had a sea bream tiradito, which may have been a touch sweet but delicious nevertheless. We also had some braised goat necks,  several grilled skewers, and finally their peruvian roast chicken, which definitely stole the show for me. Never thought id say that about chicken at a nice restaurant, but hey, credits to the chef. Highly recommend",False,0,3,0,Alex K.,en,"{'neg': 0.048, 'neu': 0.632, 'pos': 0.32, 'compound': 0.9965}",0.9965,0.32,0.048,0.632,positive
755,2016-01-16 01:23:26+00:00,5,"The space is great! The service is fast and knowledgeable and the food is delicious! The menu is small but just enough, perfect variety, great for sharing! Reservation is a must! Enjoy!",False,1,4,0,Yelena H.,en,"{'neg': 0.048, 'neu': 0.457, 'pos': 0.495, 'compound': 0.9787}",0.9787,0.495,0.048,0.457,positive
754,2016-01-16 21:22:16+00:00,5,"We were recommended this restaurant recently and heard it was a must try. Walked in and were immediately welcomed. 

Atmosphere:
Very open with the bar in the middle of the restaurant. Very modern, warm, clean, edgy & homely. Take away the bar in the middle and I feel like I could live there. Soundtrack for the restaurant was fantastic a lot of old rock being played, puts you in a great mood. The kitchen is completely open and had seats along there as well, the layout of that particular section reminded me of a sushi bar which was a nice incorporation to the overall theme. 

Staff:
FYI the hostess was very friendly and funny. Service was on point. Glasses were filled immediately, dishes were taken away ASAP, new cutlery was placed between food changes, was told what was in every dish and the staff was very happy and friendly. I felt as though I was dining at French restaurant with this much attentiveness to detail. The manager came over to us making sure we were well taken care of. I love when restaurants really pay attention to you and they really paid attention to us. A big thank you guys/gals. 

Food:
Never had Peruvian food before (sorry people never thought to really have it) however with that being said. Whoa......insanely delicious. The chef has really paid attention to detail here. Phenomenal flavors and combination of ingredients. His background at 11 Madison Park has really paid off for him. They have a lot of nice inexpensive Spanish reds and my wife really enjoyed her cocktail (some interesting ingredients with the cocktails as well) Most of my meat dishes literally melted in my mouth, very impressed. You must get the desserts, had the little donut dish it was amazing. 

Value:
I've heard this was expensive in regards to other Peruvian food BUT remember this in an elevated dining experience so you have to factor that into the cost of the food. More love and care means a little more moolah.  If you're not into that, then places like this aren't for you. People have been talking about the size of portions..PEOPLE it's tapas, that's what tapas are...small portions so you get to taste/eat more. People are quick to judge without evening doing their research, its mind boggling. It's also not super traditional Peruvian food so keep that in mind. I thought the cost of everything was right in line with most restaurants in the area and I was satisfied with the value. 

Conclusion:
This is a must try and this will be a place we visit again in the future. I hope they keep up their success. If you have an doubts, don't. Go and book a reservation ASAP. Check out my bill for what we tried. I have to say every dish was amazing so it's hard to break down everything because everything was that fantastic. The seafood, meats, drinks desserts = Perfecto.",False,2,5,0,Matthew S.,en,"{'neg': 0.025, 'neu': 0.789, 'pos': 0.187, 'compound': 0.9975}",0.9975,0.187,0.025,0.789,positive
753,2016-01-17 17:57:32+00:00,5,"I cannot fully express how much I LOVE this restaurant! They opened up 2 blocks down from my apartment last month or so and let me say - this is the BEST restaurant around here. I'm obsessed. I've been here 5 times already, have tried everything on the menu, and STILL keep coming back. The chef is fantastic - every dish is exceptional. My favorite small plates: the lentils, ceviche, pork belly anticucho, and beef heart anticucho. My favorite larger plate: the Chicken dinner for 2. You've never tasted chicken this good. Best cocktail: Tia Julia. (And Some Like It Hot from their brunch menu). Best desserts: Picarones and Chocolate Lucuma.

The servers are so knowledgeable and make excellent recommendations. The service is excellent as well.

They also just opened up for brunch and it does NOT disappoint! The mussels and their take on lomo saltado are out of this world. And if you're thinking about skipping dessert, DONT!!!! It's so delicious and completely worth it - so make sure you save some room. You won't be disappointed.

Every time I eat here, I just can't wait to come back.",False,1,5,0,Rey N.,en,"{'neg': 0.032, 'neu': 0.661, 'pos': 0.308, 'compound': 0.9969}",0.9969,0.308,0.032,0.661,positive
752,2016-01-17 23:21:12+00:00,5,"Awesome brunch! Love that we have a new go to in our neighborhood. The fluke ceviche was perfect and loved the pork shoulder sandwich, the bread was amazing and everything went so well together. The beef tenderloin is a must have with the French fries and fried egg on top. We can't wait to go back and try more. On top of everything the service was excellent!",False,1,4,0,Wendy K.,en,"{'neg': 0.014, 'neu': 0.612, 'pos': 0.375, 'compound': 0.986}",0.986,0.375,0.014,0.612,positive
751,2016-01-20 20:01:39+00:00,4,"Fantastic fish, great meat, interesting flavors, all in a trendy ambience.

I sat at the kitchen counter and loved watching the chefs work.

Ceviche - get both of them. The house ceviche is perfectly acidic and citrusy. Great morsels and fish with perfectly shaved onions. Persimmon tiradito was great too - juicy, slightly sweet, and soothing.

Skewers - get them all. Pork belly had an Asian twist, pr deft fat to meat ratio. Beef heart was steaky and topped with a sweat tomato relish. Jumbo prawn was like a small lobster covered in a great cajuny rub

Beet salad - extremely fresh. Great pairing with goat cheese

Pork shoulder - not what I expected. More like small pork chunks in sauce

Chicken - if you are not alone, get it!! Juicy, great skin, awesome sauces

Get a date, throw on something upscale/hipster, and go!",False,0,4,0,Eric T.,en,"{'neg': 0.042, 'neu': 0.571, 'pos': 0.387, 'compound': 0.9968}",0.9968,0.387,0.042,0.571,positive
750,2016-01-23 04:25:37+00:00,3,Good atmosphere. Decent food but the chef is overly complicating it. Results are dishes which sometime are unbalanced. Liked the goat neck meat but the rest on the plate was not necessary. The ceviche had some good fish but was overpowered by the lemon juice. Pork belly underlying meat was good but the sauce overpowered everything and was too salty.,False,6,0,0,Phil M.,en,"{'neg': 0.093, 'neu': 0.73, 'pos': 0.177, 'compound': 0.6542}",0.6542,0.177,0.093,0.73,positive
749,2016-01-28 15:27:56+00:00,5,"Oh man, my sister and I stumbled in here last night and we absolutely loved it!  We sat at the front bar because we didn't have reservations but that was definitely ok with us.  We weren't too hungry so we decided to share the black lentils and the pork belly anticucho.  Wanted 1 more dish and looked to yelp to help us pick.  We saw pictures of what looked like French fries so when we asked our waiter about it he mentioned that it was the beef tenderloin dish which we ordered too.

When the pork belly came out, we loved it so much we ordered the beef heart, and after the beef heart came out, we loved that so much, we ordered the shrimp and chicken thigh anticuchos.  So much for not being too hungry.  They were all delicious but my fave was the pork belly.  

The black lentils were a great starter although next time WHEN I go back, I'll try one of the other dishes.  

The beef tenderloin.. wow... that was amazing!  It comes with scallion pancakes that you can make mini tacos with and they give you fresh cut avocado, peppers, and a little thing of sauce.  Delicious!  I'll definitely be coming back for you!

I wish we had gotten dessert but we were way too stuffed.  Good thing you're only 2 blocks away! :)",False,1,5,0,Elisa L.,en,"{'neg': 0.045, 'neu': 0.675, 'pos': 0.281, 'compound': 0.9977}",0.9977,0.281,0.045,0.675,positive
748,2016-01-31 17:25:47+00:00,4,"Yum yum yum. Try the pork belly antichuco. And then immediately order it again...it's that good. We tried the banana quinoa (tasty and a good portion), the corvino ceviche (fresh and interesting with a habanero kick and dashi umami), the goat neck and beef heart antichuco. Stand outs were the pork belly, quinoa and ceviche for sure. We definitely will be back to try the rest of the menu. Cocktails were just what I wanted at Modern Peruvian restaurant --- a really good punch meets sangria to start (llama del Rey) and then a South American style dark and stormy to finish up (la chunga). Lively atmosphere perfect for a weekend night!",False,0,2,0,Kelly R.,en,"{'neg': 0.024, 'neu': 0.764, 'pos': 0.212, 'compound': 0.9709}",0.9709,0.212,0.024,0.764,positive
747,2016-02-01 17:12:32+00:00,3,"Llama Inn - we came here expecting a little bit more (food). Having taken a quick glance on yelp and the restaurant's webpage we ventured into Brooklyn last Saturday for a bite to eat with another couple. Got the point that this was a tapas/small plates place so didn't expect huge portions, so came only moderately hungry after a late lunch. However didn't take a look at prices beforehand so was still a bit shocked when the dishes came.  

That being said the flavors of all the dishes were generally fantastic, inventive and flavorful. Service was friendly though there was some time lag 15-20 minutes in between the courses being served. Ambiance was hip and trendy and the restaurant looked well kept. 

Beets ($13): beautiful presentation. Goat cheese sprinkled among individual beet chunks, gooseberry pieces, cancha, muna, red onions, (leaves of arugula?). Tasty but the fact that it's a beet dish with literally 6 pieces of beets, (not 6 whole beets), was a bit lacking. 

Fluke ceviche ($18): The lime flavor with the dashi, plantains and red onions created a delicious blend of savory with slightly sweet flavor. However there were literally 10 tiny morsels of fish that were less than bite size, like 1/2 inch by 3/4 inch pieces. And about 5-6 pieces of thin, small plantains. When I think of ceviche I think of an appetizer that's slightly more robust than what we got. 

Antichucho pork belly, chicken thigh, beef heart ($4-5 per skewer, ordered multiple skewers): all had interesting, impactful flavors, didn't personally try the beef heart but my friend said it was tasty. Pork belly seasoning had a nice spicy heat but was a little much for me, the chicken thigh was delicious and loved the sauce and the potato chips on it for the crunch. 
We did not get the shrimp skewer since it was $6 for ONE shrimp. 

Duck sausage ($18): Thoughtful presentation--the raw greens form a tent over the warm ingredients. The spinach paired wonderfully with the sausage, rice, butternut squash. Added a nice crunch. No complaints here. Loved it. 

Goat's neck ($19): Pools of potato puree and grilled turnips interspersed elegantly between the chunks of meat. Meat itself was very tender. Wish they gave one more piece of meat since it came with three salt-shaker-diameter-size pieces.

Piccarones & Chancaca ($8): the flavor of the donuts was different and delicious, warm out of the fryer with this gorgeous syrup. Really tasty. 

Bread pudding ($8 or 9?): was a sliver of bread pudding with a scoop of ice cream on top. Not sure if they were trying to balance the aesthetic presentation of the dessert but when the server said that this dessert would be the most substantial, I expected a regular piece--a somewhat rectangular slice or chunk like most restaurants serve--instead of a literally a sliver. The entire sliver was enough for maybe 6 teaspoon size mouthfuls. This was a pretty sad bread pudding. 

Cocktails: I didn't personally try the cocktails but the menu looked creative and our friends seemed to enjoy them and ordered another round, so I will assume their drinks were good.

We left hungry and picked up some meat skewers from a street food cart on the way home. And I'm someone with a relatively small-medium appetite. 

Conclusion: come here if you want to tantalize your tastebuds but unless you're planning to order a lot of dishes, then don't expect to leave full.",True,5,0,1,Susan C.,en,"{'neg': 0.045, 'neu': 0.7, 'pos': 0.254, 'compound': 0.9994}",0.9994,0.254,0.045,0.7,positive
746,2016-02-03 01:58:19+00:00,5,"This restaurant is an amazing addition to the neighborhood and New York City in general. The scene is set with an amazing wrap-around bar, open kitchen and lush tropical decor complemented by unique details like the handmade dishware. Enjoy a tasty drink at the sexy bar run by the inimitable Karen Fu (2015 rising star mixologist in Food & Wine) - I recommend the Matador Swizzle or the Pear of Brandies or El Chapo for the more adventurous ;) Chef Erik Ramirez (former Eleven Madison Park chef) has created a modern Peruvian menu that is as mouth-watering as it is unexpected. Highly recommend the red snapper tiradito (sashimi cut fish) which comes with delicate yuzu sauce, persimmons and sprinkled with poppy seeds as well as the fluke ceviche. The quinoa dish is not to be missed either - the caramelized bananas combined with crispy thick bacon, avocado and cashews come together with the quinoa in a delicious way. The whole roasted chicken, a Peruvian signature, is perfectly spiced and comes with crunchy, thick-cut potato wedges. And to finish, go for the chocolate, lucuma, coffee - the combination of lucuma, an obscure subtropical fruit, and velvety chocolate and coffee is just dreamy... Thank you, Llama Inn!!",False,0,3,0,Caroline K.,en,"{'neg': 0.028, 'neu': 0.719, 'pos': 0.253, 'compound': 0.9947}",0.9947,0.253,0.028,0.719,positive
745,2016-02-04 01:59:21+00:00,5,"Went here recently and I must say it was an amazing experience all around. The drinks, made with pisco, were fantastic and were promptly made. We ordered a bunch of food to share (it's a tapas style restaurant) and everything was amazing - I'd especially recommend the pork shoulder and the beef heart (sooo good). I came here with a Peruvian friend who kept commenting on how impressive the chef's creativity is, in taking classic Peruvian dishes and putting a fun and delicious spin on them. Finished off the night with some queso helado and picarones, which were SO good (big desserts fan). Overall, one of the best meals I've had in NYC in a long time, would highly recommend!",False,0,2,0,Baze T.,en,"{'neg': 0.033, 'neu': 0.654, 'pos': 0.312, 'compound': 0.9917}",0.9917,0.312,0.033,0.654,positive
744,2016-02-05 06:06:52+00:00,5,Sooo good. Everything was just very delicious and enjoyable to eat. The bar was not so comfortable but the food more than made up for it. I really liked the atmosphere here. I will reccomend this place.,False,0,2,0,Stephen H.,en,"{'neg': 0.062, 'neu': 0.665, 'pos': 0.273, 'compound': 0.8597}",0.8597,0.273,0.062,0.665,positive
743,2016-02-06 04:48:41+00:00,5,"My sister and I went to the Llama Inn as a kind of celebration dinner for moving me into a new nearby apartment building. I had seen Llama Inn on a Zagat list of hottest new restaurants, and a quick visit to the website (which is beautifully designed) convinced me it was worth a try.

We ordered the quinoa (with cashews, banana, and bacon - such an interesting and delicious combo of textures and flavors); the black lentils; the duck sausage; and the mussels. Everything was delicious, but the quinoa was especially yummy! I actually expected the portions to be smaller, but 4 plates for 3 people was the perfect amount. We also ordered the bread pudding dessert, and that certainly didn't disappoint, either! I've been let down so many times by the dessert course in nice restaurants, but this didn't feel like an afterthought.

There isn't a ton of variety but this is for the better - the kitchen can focus on the dishes they do well.

The service was also wonderful - our waitress was extremely pleasant and let us try a few different red wines before choosing...she also gave us her opinion and didn't try to sell the most expensive bottle, which was refreshing. We had to give our table up early (it was a packed night and they let us know in advance) and the hostess was very nice and apologetic. All in all, a great experience.",False,0,2,0,Taylor N.,en,"{'neg': 0.036, 'neu': 0.728, 'pos': 0.236, 'compound': 0.9957}",0.9957,0.236,0.036,0.728,positive
742,2016-02-07 18:30:39+00:00,4,"I'm a rather picky eater in the sense that I need interesting food and brunch is about as #basic as it gets. I have a friend that moonlights for the Infatuation and after turning down a half-dozen suggestions she tells me about this new joint that's only been open for a couple months that serves a Peruvian-inspired brunch. I'm sold. If I wanted avocado toast or an eggs benedict, I'd make that shit at home or go to some bougie SoHo spot but I want a flavor packed brunch that does some cool shit with breakfast (which is why I like places like Cafe Mogador, Onomea, and Manila Social Club). 

I met up with a colleague so we could discuss personal projects and how her boyfriend never wants to come to Brooklyn. I ordered a coffee (French Press) for $4 and the Swiss Chard Empanada for $7. The bake on the empanada was great, the coloring looked a bit underbaked but it definitely wasn't. Like if I were going to 'gram it, I'd bump up the contrast and saturate the colors a bit more if you know what I'm talking about (or they could put a quick egg wash on it before baking).

For the main brunch dish, my friend ordered the Andean Potato which was fried eggs on top of a delicious chunky stew-like base topped with red onions and avocado for $15. Myself, I ordered the beef tenderloin stir-fry placed on a bed of fries and shallots topped with fried eggs.

For dessert, there was only one dish, the bread pudding for $8. When I go to a new place I like to have the full experience so of course it was ordered even though I detest raisins (which were in the dish), but surprisingly I liked it alot. It had toffee, almond, golden raisins and topped with whipped cream. I would put that on par with the Ube bread pudding at Manila Social Club and the sweet bread pudding at Bakeri. 

The space is large, two levels (rooftop bar which will open when it's warmer), a large central bar so the flow of the room is great. Surrounded by windows with tables flanking one wall, wrap around counters against another, and booths back by the kitchen with a couple odd bistro tables peppering the space. It's very light, bright, airy, and modern. 

This place is definitely one of my new favorites. The service was a smidge off in the sense that I had to a couple times crane my neck and try to peer into the back of my waiter's head to get her attention but other than that, it's great... which means Gothamist is going to pick it up and it'll turn into Manila Social Club where by 11:15am, brunch is booked for the whole day. I'm just glad I got to eat here before it was cool.

I will be back for dinner.",False,3,9,1,Peter N.,en,"{'neg': 0.027, 'neu': 0.812, 'pos': 0.161, 'compound': 0.9973}",0.9973,0.161,0.027,0.812,positive
741,2016-02-08 01:25:29+00:00,4,"Good:
First, I'd like to say that the food was amazing! I ordered the crispy pork shoulder sandwich and my friend ordered the chicken thigh sandwich. We also got a Pisco sour each and the yuca bread.
As a Peruvian native I was impressed with how well put together the food was and how the chef put a modern twist to the Peruvian cuisine.

Bad:
My friend and I were there for brunch, we arrived at 1 and the hostess gave us the option to sit at the bar since there were  no tables available, which was fine with us... However it took the bartender a good 12 minutes to give us a menu, she didn't even look at us to at least say that it would be a few minutes, I actually had to say something to her first for her to tell us to give her time. No matter how busy you are, the first thing you should do as a server/bartender is greet the customer and hand us the menu at least... In that amount of time we could've read through the menu well enough and been able to place our order. Thankfully after we placed our order the food didn't take too long. Another thing is that while we were eating, a woman sat next to us at the bar and the same thing happened to her, except she walked off after not being acknowledged the entire time she was there, to be honest I would've done the same but i drove over an hour for this place since I had read such good reviews. 

Overall I will give this place a second chance and come back because the food truly is that good. I do recommend having more attentive staff or maybe more bartenders at the bar, because that bartender looked overwhelmed the entire time.... Had it not been for the lack of attentiveness I would've given this place 5 stars.",False,0,2,0,Lisseth M.,en,"{'neg': 0.052, 'neu': 0.784, 'pos': 0.164, 'compound': 0.9858}",0.9858,0.164,0.052,0.784,positive
740,2016-02-08 15:20:26+00:00,5,"5 stars for atmosphere: The restaurant walls are all high windows letting in plenty of natural light. Colorful ropes and lamps add some fun, and if you look closely you'll spot some googly-eyed llamas.

We came for brunch, and we split the fried rice omelette and the beef tenderloin. The Chinese sausage in the omelette was amazing (spicy and succulent), and the caramelized banana went surprisingly well with the savory teriyaki sauce on the beef tenderloin.

Bonus for having breathing (and walking) room between tables and for being able to hear my companion without having to raise my voice--a real rarity for NYC brunch.

I can't wait to go back for cocktails and dinner!",False,0,2,0,Vanessa R.,en,"{'neg': 0.018, 'neu': 0.785, 'pos': 0.196, 'compound': 0.9752}",0.9752,0.196,0.018,0.785,positive
